_id,Nama ODTW,Kode ODTW,Bulan kunjungan,Klasifikasi pengunjung/ wisatawan,Jumlah pengunjung/ wisatawan
"85,MONTUGU PAHLAWAN,"""",JULI,WISMAN,0"
"86,MONTUGU PAHLAWAN,"""",JULI,WISNUS,0"
"87,MONTUGU PAHLAWAN,"""",AGUSTUS,WISMAN,0"
"88,MONTUGU PAHLAWAN,"""",AGUSTUS,WISNUS,0"
"89,MONTUGU PAHLAWAN,"""",SEPTEMBER,WISMAN,6"
"90,MONTUGU PAHLAWAN,"""",SEPTEMBER,WISNUS,594"
"91,MONTUGU PAHLAWAN,"""",OKTOBER,WISMAN,26"
"92,MONTUGU PAHLAWAN,"""",OKTOBER,WISNUS,11460"
"93,MONTUGU PAHLAWAN,"""",NOPEMBER,WISMAN,7"
"94,MONTUGU PAHLAWAN,"""",NOPEMBER,WISNUS,5690"
"95,MONTUGU PAHLAWAN,"""",DESEMBER,WISMAN,13"
"96,MONTUGU PAHLAWAN,"""",DESEMBER,WISNUS,7036"
"97,MUSEUM LOKA JALA CRANA,"""",JANUARI,WISMAN,0"
"98,MUSEUM LOKA JALA CRANA,"""",JANUARI,WISNUS,0"
"99,MUSEUM LOKA JALA CRANA,"""",FEBRUARI,WISMAN,0"
"100,MUSEUM LOKA JALA CRANA,"""",FEBRUARI,WISNUS,0"
"101,MUSEUM LOKA JALA CRANA,"""",MARET,WISMAN,0"
"102,MUSEUM LOKA JALA CRANA,"""",MARET,WISNUS,0"
"103,MUSEUM LOKA JALA CRANA,"""",APRIL,WISMAN,0"
"104,MUSEUM LOKA JALA CRANA,"""",APRIL,WISNUS,0"
"105,MUSEUM LOKA JALA CRANA,"""",MEI,WISMAN,0"
"106,MUSEUM LOKA JALA CRANA,"""",MEI,WISNUS,0"
"107,MUSEUM LOKA JALA CRANA,"""",JUNI,WISMAN,0"
"108,MUSEUM LOKA JALA CRANA,"""",JUNI,WISNUS,0"
"109,MUSEUM LOKA JALA CRANA,"""",JULI,WISMAN,0"
"110,MUSEUM LOKA JALA CRANA,"""",JULI,WISNUS,0"
"111,MUSEUM LOKA JALA CRANA,"""",AGUSTUS,WISMAN,0"
"112,MUSEUM LOKA JALA CRANA,"""",AGUSTUS,WISNUS,0"
"113,MUSEUM LOKA JALA CRANA,"""",SEPTEMBER,WISMAN,0"
"114,MUSEUM LOKA JALA CRANA,"""",SEPTEMBER,WISNUS,0"
"115,MUSEUM LOKA JALA CRANA,"""",OKTOBER,WISMAN,0"
"116,MUSEUM LOKA JALA CRANA,"""",OKTOBER,WISNUS,0"
"117,MUSEUM LOKA JALA CRANA,"""",NOPEMBER,WISMAN,0"
"118,MUSEUM LOKA JALA CRANA,"""",NOPEMBER,WISNUS,0"
"119,MUSEUM LOKA JALA CRANA,"""",DESEMBER,WISMAN,0"
"120,MUSEUM LOKA JALA CRANA,"""",DESEMBER,WISNUS,0"
"121,MUSEUM HOUSE OF SAMPOERNA,"""",JANUARI,WISMAN,0"
"122,MUSEUM HOUSE OF SAMPOERNA,"""",JANUARI,WISNUS,0"
"123,MUSEUM HOUSE OF SAMPOERNA,"""",FEBRUARI,WISMAN,0"
"124,MUSEUM HOUSE OF SAMPOERNA,"""",FEBRUARI,WISNUS,0"
"125,MUSEUM HOUSE OF SAMPOERNA,"""",MARET,WISMAN,0"
"126,MUSEUM HOUSE OF SAMPOERNA,"""",MARET,WISNUS,0"
"127,MUSEUM HOUSE OF SAMPOERNA,"""",APRIL,WISMAN,0"
"128,MUSEUM HOUSE OF SAMPOERNA,"""",APRIL,WISNUS,0"
"129,MUSEUM HOUSE OF SAMPOERNA,"""",MEI,WISMAN,0"
"130,MUSEUM HOUSE OF SAMPOERNA,"""",MEI,WISNUS,0"
"131,MUSEUM HOUSE OF SAMPOERNA,"""",JUNI,WISMAN,0"
"132,MUSEUM HOUSE OF SAMPOERNA,"""",JUNI,WISNUS,0"
"133,MUSEUM HOUSE OF SAMPOERNA,"""",JULI,WISMAN,0"
"134,MUSEUM HOUSE OF SAMPOERNA,"""",JULI,WISNUS,0"
"135,MUSEUM HOUSE OF SAMPOERNA,"""",AGUSTUS,WISMAN,0"
"136,MUSEUM HOUSE OF SAMPOERNA,"""",AGUSTUS,WISNUS,0"
"137,MUSEUM HOUSE OF SAMPOERNA,"""",SEPTEMBER,WISMAN,0"
"138,MUSEUM HOUSE OF SAMPOERNA,"""",SEPTEMBER,WISNUS,0"
"139,MUSEUM HOUSE OF SAMPOERNA,"""",OKTOBER,WISMAN,0"
"140,MUSEUM HOUSE OF SAMPOERNA,"""",OKTOBER,WISNUS,0"
"141,MUSEUM HOUSE OF SAMPOERNA,"""",NOPEMBER,WISMAN,0"
"142,MUSEUM HOUSE OF SAMPOERNA,"""",NOPEMBER,WISNUS,0"
"143,MUSEUM HOUSE OF SAMPOERNA,"""",DESEMBER,WISMAN,0"
"144,MUSEUM HOUSE OF SAMPOERNA,"""",DESEMBER,WISNUS,0"
"145,MUSEUM   KESEHATAN,"""",JANUARI,WISMAN,0"
"146,MUSEUM   KESEHATAN,"""",JANUARI,WISNUS,0"
"147,MUSEUM   KESEHATAN,"""",FEBRUARI,WISMAN,0"
"148,MUSEUM   KESEHATAN,"""",FEBRUARI,WISNUS,0"
"149,MUSEUM   KESEHATAN,"""",MARET,WISMAN,0"
"150,MUSEUM   KESEHATAN,"""",MARET,WISNUS,0"
"151,MUSEUM   KESEHATAN,"""",APRIL,WISMAN,0"
"152,MUSEUM   KESEHATAN,"""",APRIL,WISNUS,0"
"153,MUSEUM   KESEHATAN,"""",MEI,WISMAN,0"
"154,MUSEUM   KESEHATAN,"""",MEI,WISNUS,0"
"155,MUSEUM   KESEHATAN,"""",JUNI,WISMAN,0"
"156,MUSEUM   KESEHATAN,"""",JUNI,WISNUS,0"
"157,MUSEUM   KESEHATAN,"""",JULI,WISMAN,0"
"158,MUSEUM   KESEHATAN,"""",JULI,WISNUS,0"
"159,MUSEUM   KESEHATAN,"""",AGUSTUS,WISMAN,0"
"160,MUSEUM   KESEHATAN,"""",AGUSTUS,WISNUS,0"
"161,MUSEUM   KESEHATAN,"""",SEPTEMBER,WISMAN,0"
"162,MUSEUM   KESEHATAN,"""",SEPTEMBER,WISNUS,0"
"163,MUSEUM   KESEHATAN,"""",OKTOBER,WISMAN,0"
"164,MUSEUM   KESEHATAN,"""",OKTOBER,WISNUS,0"
"165,MUSEUM   KESEHATAN,"""",NOPEMBER,WISMAN,0"
"166,MUSEUM   KESEHATAN,"""",NOPEMBER,WISNUS,0"
"167,MUSEUM   KESEHATAN,"""",DESEMBER,WISMAN,0"
"168,MUSEUM   KESEHATAN,"""",DESEMBER,WISNUS,0"
"169,MUSEUM BI / DE JAVASCHE BANK,"""",JANUARI,WISMAN,0"
"170,MUSEUM BI / DE JAVASCHE BANK,"""",JANUARI,WISNUS,0"
"171,MUSEUM BI / DE JAVASCHE BANK,"""",FEBRUARI,WISMAN,0"
"172,MUSEUM BI / DE JAVASCHE BANK,"""",FEBRUARI,WISNUS,0"
"173,MUSEUM BI / DE JAVASCHE BANK,"""",MARET,WISMAN,0"
"174,MUSEUM BI / DE JAVASCHE BANK,"""",MARET,WISNUS,0"
"175,MUSEUM BI / DE JAVASCHE BANK,"""",APRIL,WISMAN,0"
"176,MUSEUM BI / DE JAVASCHE BANK,"""",APRIL,WISNUS,0"
"177,MUSEUM BI / DE JAVASCHE BANK,"""",MEI,WISMAN,0"
"178,MUSEUM BI / DE JAVASCHE BANK,"""",MEI,WISNUS,0"
"179,MUSEUM BI / DE JAVASCHE BANK,"""",JUNI,WISMAN,0"
"180,MUSEUM BI / DE JAVASCHE BANK,"""",JUNI,WISNUS,0"
"181,MUSEUM BI / DE JAVASCHE BANK,"""",JULI,WISMAN,0"
"182,MUSEUM BI / DE JAVASCHE BANK,"""",JULI,WISNUS,0"
"183,MUSEUM BI / DE JAVASCHE BANK,"""",AGUSTUS,WISMAN,0"
"184,MUSEUM BI / DE JAVASCHE BANK,"""",AGUSTUS,WISNUS,0"
"185,MUSEUM BI / DE JAVASCHE BANK,"""",SEPTEMBER,WISMAN,0"
"186,MUSEUM BI / DE JAVASCHE BANK,"""",SEPTEMBER,WISNUS,0"
"187,MUSEUM BI / DE JAVASCHE BANK,"""",OKTOBER,WISMAN,0"
"188,MUSEUM BI / DE JAVASCHE BANK,"""",OKTOBER,WISNUS,0"
"189,MUSEUM BI / DE JAVASCHE BANK,"""",NOPEMBER,WISMAN,0"
"190,MUSEUM BI / DE JAVASCHE BANK,"""",NOPEMBER,WISNUS,0"
"191,MUSEUM BI / DE JAVASCHE BANK,"""",DESEMBER,WISMAN,0"
"192,MUSEUM BI / DE JAVASCHE BANK,"""",DESEMBER,WISNUS,0"
"193,MUSEUM SURABAYA,"""",JANUARI,WISMAN,0"
"194,MUSEUM SURABAYA,"""",JANUARI,WISNUS,0"
"195,MUSEUM SURABAYA,"""",FEBRUARI,WISMAN,0"
"196,MUSEUM SURABAYA,"""",FEBRUARI,WISNUS,0"
"197,MUSEUM SURABAYA,"""",MARET,WISMAN,0"
"198,MUSEUM SURABAYA,"""",MARET,WISNUS,0"
"199,MUSEUM SURABAYA,"""",APRIL,WISMAN,0"
"200,MUSEUM SURABAYA,"""",APRIL,WISNUS,52"
"201,MUSEUM SURABAYA,"""",MEI,WISMAN,0"
"202,MUSEUM SURABAYA,"""",MEI,WISNUS,97"
"203,MUSEUM SURABAYA,"""",JUNI,WISMAN,0"
"204,MUSEUM SURABAYA,"""",JUNI,WISNUS,39"
"205,MUSEUM SURABAYA,"""",JULI,WISMAN,0"
"206,MUSEUM SURABAYA,"""",JULI,WISNUS,0"
"207,MUSEUM SURABAYA,"""",AGUSTUS,WISMAN,0"
"208,MUSEUM SURABAYA,"""",AGUSTUS,WISNUS,0"
"209,MUSEUM SURABAYA,"""",SEPTEMBER,WISMAN,0"
"210,MUSEUM SURABAYA,"""",SEPTEMBER,WISNUS,0"
"211,MUSEUM SURABAYA,"""",OKTOBER,WISMAN,0"
"212,MUSEUM SURABAYA,"""",OKTOBER,WISNUS,67"
"213,MUSEUM SURABAYA,"""",NOPEMBER,WISMAN,0"
"214,MUSEUM SURABAYA,"""",NOPEMBER,WISNUS,230"
"215,MUSEUM SURABAYA,"""",DESEMBER,WISMAN,0"
"216,MUSEUM SURABAYA,"""",DESEMBER,WISNUS,305"
"217,MUSEUM WR.SUPRATMAN,"""",JANUARI,WISMAN,0"
"218,MUSEUM WR.SUPRATMAN,"""",JANUARI,WISNUS,0"
"219,MUSEUM WR.SUPRATMAN,"""",FEBRUARI,WISMAN,0"
"220,MUSEUM WR.SUPRATMAN,"""",FEBRUARI,WISNUS,0"
"221,MUSEUM WR.SUPRATMAN,"""",MARET,WISMAN,0"
"222,MUSEUM WR.SUPRATMAN,"""",MARET,WISNUS,0"
"223,MUSEUM WR.SUPRATMAN,"""",APRIL,WISMAN,0"
"224,MUSEUM WR.SUPRATMAN,"""",APRIL,WISNUS,19"
"225,MUSEUM WR.SUPRATMAN,"""",MEI,WISMAN,0"
"226,MUSEUM WR.SUPRATMAN,"""",MEI,WISNUS,72"
"227,MUSEUM WR.SUPRATMAN,"""",JUNI,WISMAN,0"
"228,MUSEUM WR.SUPRATMAN,"""",JUNI,WISNUS,36"
"229,MUSEUM WR.SUPRATMAN,"""",JULI,WISMAN,0"
"230,MUSEUM WR.SUPRATMAN,"""",JULI,WISNUS,0"
"231,MUSEUM WR.SUPRATMAN,"""",AGUSTUS,WISMAN,0"
"232,MUSEUM WR.SUPRATMAN,"""",AGUSTUS,WISNUS,0"
"233,MUSEUM WR.SUPRATMAN,"""",SEPTEMBER,WISMAN,0"
"234,MUSEUM WR.SUPRATMAN,"""",SEPTEMBER,WISNUS,0"
"235,MUSEUM WR.SUPRATMAN,"""",OKTOBER,WISMAN,0"
"236,MUSEUM WR.SUPRATMAN,"""",OKTOBER,WISNUS,55"
"237,MUSEUM WR.SUPRATMAN,"""",NOPEMBER,WISMAN,0"
"238,MUSEUM WR.SUPRATMAN,"""",NOPEMBER,WISNUS,124"
"239,MUSEUM WR.SUPRATMAN,"""",DESEMBER,WISMAN,0"
"240,MUSEUM WR.SUPRATMAN,"""",DESEMBER,WISNUS,129"
"241,MUSEUM DR. SOETOMO & GNI,"""",JANUARI,WISMAN,0"
"242,MUSEUM DR. SOETOMO & GNI,"""",JANUARI,WISNUS,0"
"243,MUSEUM DR. SOETOMO & GNI,"""",FEBRUARI,WISMAN,0"
"244,MUSEUM DR. SOETOMO & GNI,"""",FEBRUARI,WISNUS,0"
"245,MUSEUM DR. SOETOMO & GNI,"""",MARET,WISMAN,0"
